uid,sid
0,706
0,1256
0,1337
0,1414
0,1496
0,1508
1,212
1,213
1,518
1,584
1,1008
1,1254
1,1451
2,465
2,467
2,503
2,559
2,593
2,604
2,630
2,660
2,686
2,689
2,751
2,760
2,785
2,871
2,893
2,902
2,904
2,1065
2,1088
2,1097
2,1116
2,1148
2,1262
2,1278
2,1279
2,1288
2,1291
2,1306
2,1316
2,1320
2,1326
2,1358
2,1371
2,1436
2,1502
3,63
4,276
5,183
6,492
6,909
6,930
6,1301
6,1397
7,587
8,481
9,556
9,745
9,1253
9,1305
9,1379
9,1406
10,1158
10,1165
11,432
12,1076
13,25
13,30
13,253
13,440
13,469
13,598
13,610
13,721
13,730
13,733
13,746
13,801
13,837
13,844
13,845
13,847
13,869
13,890
13,938
13,976
13,994
13,1075
13,1149
13,1184
13,1229
13,1353
13,1447
13,1448
13,1456
13,1460
13,1467
14,766
14,1193
15,452
16,49
16,808
16,1129
17,700
17,725
17,875
17,988
17,1132
18,711
18,1233
18,1286
18,1341
19,1073
20,238
20,1346
22,635
22,1025
22,1281
23,122
23,1118
23,1401
24,313
24,818
25,13
25,212
25,302
25,469
25,488
25,518
25,621
25,721
25,733
25,746
25,755
25,781
25,801
25,804
25,837
25,845
25,864
25,919
25,938
25,964
25,1191
25,1197
25,1207
25,1241
25,1269
25,1345
25,1368
25,1447
25,1448
25,1451
25,1456
25,1459
26,499
27,1010
27,1122
28,229
28,305
28,1420
29,1461
30,13
30,469
30,518
30,598
30,599
30,610
30,647
30,721
30,730
30,746
30,754
30,801
30,807
30,844
30,845
30,864
30,938
30,976
30,1024
30,1037
30,1066
30,1149
30,1153
30,1191
30,1197
30,1207
30,1312
30,1353
30,1456
30,1460
30,1516
31,87
31,216
31,443
33,879
33,966
34,1281
34,1406
34,1499
35,457
35,652
35,731
35,763
35,1083
35,1125
35,1214
35,1277
35,1291
35,1443
35,1503
36,1071
38,277
38,1173
39,150
39,151
39,954
40,289
40,312
40,482
40,512
40,519
40,542
40,606
40,765
40,772
40,850
40,898
40,1090
40,1143
40,1241
40,1276
40,1379
40,1385
40,1433
41,504
41,892
41,1084
41,1171
41,1322
41,1364
42,1091
42,1193
43,1426
44,1004
44,1006
44,1231
44,1384
45,497
47,312
47,562
47,606
47,850
47,1059
47,1204
47,1241
48,1022
48,1277
49,16
49,535
49,705
49,808
49,876
49,1129
49,1200
49,1202
49,1235
49,1303
49,1328
49,1365
50,256
50,510
50,654
50,1283
51,414
51,834
51,1259
52,1291
52,1443
53,496
53,727
53,921
53,1330
53,1342
54,450
54,540
54,990
54,1093
54,1177
54,1360
54,1398
55,877
56,351
56,549
56,584
56,739
56,752
56,1476
57,464
58,957
58,1383
59,1440
60,573
60,617
60,622
60,678
60,695
60,708
60,737
60,859
60,962
60,967
60,1034
60,1050
60,1070
60,1085
60,1123
60,1221
60,1246
60,1335
60,1457
61,1022
61,1277
62,765
63,3
64,1077
65,120
65,178
65,241
65,297
65,305
65,400
65,415
65,467
65,582
65,673
65,743
65,1026
65,1105
65,1443
66,709
66,1479
67,464
67,1234
67,1364
68,269
68,779
68,1424
68,1471
69,1257
70,235
71,699
72,1474
73,505
74,547
74,551
74,1136
75,181
75,218
76,1245
77,747
77,820
77,942
78,392
78,614
78,735
78,776
78,1121
78,1354
78,1377
79,937
79,1415
80,555
80,587
80,887
80,944
80,1086
80,1259
81,1291
82,958
83,696
83,824
83,888
83,894
83,1079
83,1216
83,1263
83,1308
83,1356
84,1273
85,158
85,825
85,924
85,1513
86,369
86,575
86,883
86,1055
86,1455
87,31
87,216
87,235
87,367
87,455
87,555
87,611
87,694
87,1039
87,1069
87,1319
87,1370
87,1422
88,691
88,780
88,805
88,873
88,1082
88,1294
89,466
89,1434
89,1506
90,608
90,745
90,830
90,943
90,1031
90,1103
91,185
92,470
92,765
93,977
93,1404
94,823
94,963
94,1185
94,1311
95,138
95,1189
96,212
96,478
96,584
96,586
96,589
96,788
96,845
96,945
96,1008
96,1367
97,415
97,785
97,906
97,1091
97,1361
97,1363
98,669
98,936
99,449
99,560
99,926
99,1081
99,1515
100,122
100,615
100,826
100,1037
100,1115
100,1353
101,1056
102,468
102,523
102,648
103,314
103,407
103,936
103,1419
104,681
104,772
105,1031
105,1103
105,1295
105,1333
106,687
106,779
107,266
107,1186
107,1423
107,1483
108,399
108,583
109,712
109,1043
109,1407
110,645
110,1346
110,1412
111,350
112,117
112,301
112,572
112,664
112,697
112,714
112,790
112,827
112,842
112,857
112,882
112,923
112,928
112,953
112,1069
112,1157
112,1180
112,1236
112,1258
112,1285
112,1289
112,1357
112,1494
113,619
114,174
114,212
114,213
114,398
114,478
114,584
114,586
114,752
114,788
114,802
114,1008
114,1500
115,483
115,539
115,580
115,707
115,744
115,759
115,862
115,884
115,972
115,1011
115,1108
115,1223
115,1282
115,1323
115,1343
115,1394
115,1462
116,845
116,1448
117,112
117,874
117,882
117,1036
117,1069
117,1271
117,1520
118,747
118,820
118,958
118,1017
119,447
119,639
119,1350
120,65
120,1443
121,415
121,582
121,646
121,652
121,911
121,947
122,23
122,100
122,217
122,519
122,826
122,866
122,1346
122,1404
122,1415
122,1453
123,672
123,925
123,955
123,1278
124,474
124,716
124,1087
125,159
126,620
126,772
127,168
127,209
127,513
128,129
128,355
128,848
128,1140
128,1493
129,128
129,355
129,848
129,929
129,1140
129,1493
130,525
130,1032
130,1094
131,880
131,1472
132,243
132,1099
133,880
133,1472
134,1120
135,699
135,791
136,872
137,167
137,638
137,918
138,95
138,1189
139,239
139,626
139,985
140,998
141,1511
142,940
142,1202
143,199
143,508
143,625
143,1126
144,572
144,709
144,1243
145,984
145,1155
146,471
146,798
147,1217
147,1300
148,569
148,598
148,610
148,749
148,1197
148,1448
149,697
149,882
149,1492
150,39
150,151
150,954
151,39
151,150
151,954
152,625
153,798
153,956
153,1352
154,747
154,1147
154,1419
155,342
155,920
156,205
156,306
156,1391
157,1170
158,85
158,825
158,1513
159,125
159,215
159,1224
160,192
160,969
160,1142
161,572
162,1501
163,728
164,687
165,475
